antiquewhite4	blue	blue2	brown	coral1	cyan	darkgreen	darkmagenta	darkviolet	firebrick4	floralwhite	grey60	mediumpurple2	orangered3	pink	plum	plum2	skyblue	skyblue1	steelblue	thistle2
KCNK3	BRINP3		ROR1		RHOJ	RUNX3	KTI12			C10orf67	MIR761			OR7E2P			LINC01118		TMEM163	
TRIM54	RGS18		CACHD1		RDH12	LDLRAP1	ORC1			LINC00202-2	ZFYVE9			LOC100506368			NRXN1		SLC4A10	
LOC101927438	RGS1		MIR4794		FLRT2	MAN1C1	GPX7			LINC00202-1	ZCCHC11			SNORA40			REG3G		CHRNA1	
LOC101927701	RGS2		JAK1		KCNK10	SEPN1	CPT2			MIR7162	ZYG11A			KDM4E			LOC1720		LOC101927156	
ACTG2	LINC01032		LEPROT		SERPINA9	PAQR7	C1orf123			TMEM72-AS1	PODN			C11orf65			MIR4771-2		DIRC1	
SMYD1	KCNT2		LEPR		WARS	EXTL1	YIPF1			C10orf25	MAGOH			CRYAB			MIR4771-1		STAT4	
POU3F3	MIR4735		MIER1		MIR370	CNKSR1	LRRC42			FRMPD2B	SSBP3			TMPRSS5			IL37		CD28	
C1QL2	CFHR4		SLC35D1		NBEAP1	RPS6KA1	MRPL37			LRRC18	MROH7-TTC4			NXPE4			IL1F10		CTLA4	
KCNJ3	CFHR5		IL12RB2		PWRN3	SFN	ACOT11			PRKG1-AS1	USP24			TREH			LOC101928386		ICOS	
SCN7A	F13B		GADD45A		GOLGA6L7P	GPATCH3	TTC4			LINC00844	LOC100507634			UPK2			FAP		DYTN	
XIRP2	LHX9		GNG12		PLA2G4E	TRNP1	PARS2			ATOH7	MYSM1			CLMP			SLC38A11		DOCK10	
HOXD-AS2	PTPRC		GNG12-AS1		TGM5	FAM46B	DHCR24			ADAMTS14	HOOK1			OR8B4			HOXD13		SIRPG-AS1	
LOC101927055	MIR181A1		LRRC40		SALRNA2	SLC9A1	C8B			DLG5-AS1	RAVER2			NRGN			LOC101927431		PROKR2	
CDK5R2	LINC00862		ANKRD13C		LOC283731	WDTC1	TACSTD2			MBL1P	SERBP1			ROBO4			MOGAT1		DEFB122	
CRYBA2	IGFN1		ZRANB2		ARNT2	SYTL1	LINC01358			TMEM254-AS1	WLS			KCNA5			NEU2		MIR3194	
DES	MYOG		ZRANB2-AS2		ACAN	MAP3K6	FGGY			MAT1A	SRSF11			NANOGNB			TRPM8		LOC101928048	
SPHKAP	MYBPH		FPGT		LOC101927310	WASF2	PGM1			KLLN	ZRANB2-AS1			LOC101930452			OTOR		MIR155HG	
DEFB127	CHI3L1		FPGT-TNNI3K		CERS3	AHDC1	DIRAS3			SLC16A12	MIR186			PRH2			LINC00851		MIR155	
C20orf141	LINC01353		TNNI3K		CLDN6	SMPDL3B	HHLA3			SLC16A12-AS1	RABGGTB			TAS2R30			CST7		MIR5009	
LOC101929371	LINC01136		CRYZ		SOCS1	TMEM200B	ST6GALNAC5			CYP2C8	SNORD45C			BCL2L14			GDAP1L1		MIR6508	
SYNDIG1	LINC00303		TYW3		BCAR4	PTPRU	GNG5			SLIT1	SNORD45A			GPR19			WFDC12		POTEH	
FOXS1	AVPR1B		ACADM		IL27	MATN1	PKN2-AS1			HOGA1	SNORD45B			RPL13AP20			CBLN4		MIAT	
BPIFB2	YOD1		DLSTP1		GDPD3	MATN1-AS1	FLJ27354			SFRP5	FUBP1			LOC100506314			MIR298		PVALB	
C20orf173	CR1		MSH4		CAPNS2	SDC3	DR1			SFXN3	DDAH1			C12orf60			KRTAP19-1		GRAP2	
WISP2	CAMK1G		PIGK		LOC729159	NKAIN1	BCAR3			DPCD	HS2ST1			PIK3C2G			LINC00114		MIR4790	
RIMS4	G0S2		AK5		CDH5	SERINC2	ABCA4			FGF8	LMO4			ITPR2			TSPEAR-AS2		EOMES	
PTGIS	TRAF3IP3		ZZZ3		CDH16	ADGRB2	LOC729970			PSD	GEMIN8P4			C12orf71			BPIFC		CXCR6	
PCK1	LOC105748977		USP33		HCCAT5	TMEM39B	ALG14			RPARP-AS1	RPL5			RNU6-78P			LINC01399		CCR5	
ADAMTS5	LOC101929565		FAM73A		CDH13	FAM167B	DPH5			C10orf95	SNORD21			SLC38A4			CNTN4		LINC00696	
TFF1	ATF3		DNAJB4		FOXF1	MARCKSL1	LOC102606465			ARL3	LOC100129046			ANP32D			WNT7A		FAM19A4	
COL18A1-AS2	PROX1-AS1		IFI44		SCIMP	FAM229A	PRMT6			PLEKHS1	LRRC39			SOAT2			MIR563		TRAT1	
POM121L4P	PROX1		ADGRL2		XAF1	KIAA1522	KIAA1324			HSPA12A	MIR553			NPFF			LOC339862		CD96	
MYO18B	LINC00210		LOC101927587		BCL6B	RNF19B	SARS			ENO4	AMY2B			DCD			LYZL4		ZNF80	
CSDC2	LBR		LOC101927560		ALOX12B	TRIM62	PSRC1			MIR4296	AMY2A			SLC39A5			CCR9		TIGIT	
LINC00207	MIR4454		PRKACB		ALOXE3	ZNF362	PSMA5			FANK1	FAM102B			TAC3			SLC38A3		PARP15	
CAV3	LOC149373		RPF1		ARHGEF15	PHC2	AMIGO1			MIR4297	PRPF38B			AVIL			IQCF1		CPB1	
CIDEC	DISC1-IT1		SPATA1		MYH2	MIR3605	LAMTOR5			TCERG1L-AS1	TAF13			LOC100129940			MIR548BB		GPR171	
SCN5A	LOC101927683		CTBS		HS3ST3A1	GJB3	LAMTOR5-AS1			JAKMIP3	STRIP1			IL26			ESYT3		KCNAB1-AS1	
XIRP1	LOC101927851		SSX2IP		SLC47A1	DLGAP3	WDR77			STK32C	ALX3			LOC101928002			LOC100507389		OSTN	
CCK	LYST		LPAR3		CCL2	NCDN	TMIGD3			LRRC27	OVGP1			MYRFL			LINC01214		MIR3137	
MYL3	MIR1537		MCOLN2		CCL7	COL8A2	ADORA3			CFAP46	LINC01160			LOC101928137			P2RY14		JAKMIP1	
CADPS	ZP4		MCOLN3		CCL8	MAP7D1	LOC643355			KNDC1	RAP1A			C12orf79			LINC01208		CXCL5	
LMOD3	RPS7P5		SYDE2		CCL4	EVA1B	MOV10			LRRC56	KCND3			LOC643339			LINC01209		CXCL3	
MIR548G	GREM2		C1orf52		ZPBP2	EPHA10	PPM1J			TNNT3	LRIG2			LOC101928731			LOC101929106		MIR575	
FBXO40	RGS7		BCL10		KRT26	POU3F1	DCLRE1B			MRPL23-AS1	BCL2L15			LOC643711			RTP1		GPRIN3	
SPSB4	BECN2		LOC646626		KRT27	HEYL	OLFML3			TSSC2	HIPK1			C12orf42			ZNF876P		TNIP3	
AHSG	PLD5		CYR61		KRT10	OXCT2	HMGCS2			HBE1	NRAS			RAD9B			PSAPL1		TMEM155	
ADIPOQ	LOC255654		ZNHIT6		KRTAP1-1	RIMS3	POLR3GL			OR51I1	VANGL1			SIRT4			LINC01182		IL21	
SMCO1	OR2W5		COL24A1		KRT14	SCMH1	PEX11B			C11orf42	LOC101928995			MIR6880			SLC34A2		IL21-AS1	
SOD3	OR2C3		CLCA2		KRT16	FOXO6	PIAS3			CNGA4	LOC101928977			LINC00944			LOC101929199		FSTL5	
UCHL1	OR2G2		CLCA3P		KRT17	YBX1	NUDT17			CCKBR	IGSF3			FZD10-AS1			LOC401134		TRIM60	
PHOX2B	OR6F1		SH3GLB1		CD300LG	CLDN19	ACP6			APBB1	PTGFRN			LRCOL1			PROL1		GLRA3	
TECRL	OR14A16		SEP15		DLX3	SLC2A1	GJA5			TUB	TRIM45			TPTE2			LOC101929577		LOC101928551	
EPHA5-AS1	OR2L8		LINC01140		SEPT4	C1orf210	HIST2H2BE			C11orf16	LOC101929147			MPHOSPH8			LOC101927359		HELT	
MYOZ2	OR2AK2		PKN2		SSTR2	CDC20	BOLA1			USH1C	ZNF697			LINC00539			GYPB		MIR4457	
MIR5684	OR2L5		GTF2B		CD300E	SZT2	MTMR11			SAA4	NOTCH2			SGCG			LOC90768		LOC101929454	
HAND2	OR2L2		CCBL2		OTOP3	HYI	CIART			KCNA4	FAM72B			USP12-AS1			TRIML2		ESM1	
HAND2-AS1	OR2M1P		RBMXL1		CIDEA	PTPRF	MRPS21			WT1	HIST2H2BA			LHFP			MIR4636		GZMK	
LOC100506688	OR2M5		GBP3		LOC100996324	ST3GAL3	TARS2			PAMR1	SRGAP2B			MIR320D1			LINC01021		GZMA	
C7	OR2M3		GBP6		DSC3	ARTN	CERS2			ACCS	SRGAP2D			MIR3168			LOC102467080		ACTBL2	
PLCXD3	OR2T12		LRRC8B		DSC2	IPO13	PRUNE			ALX4	EMBP1			LOC101929140			ANKRD55		TMEM174	
HCN1	OR2T4		LRRC8C		DSC1	B4GALT2	C1orf56			SYT13	LOC102723769			TUSC8			C5orf67		RAB9BP1	
HSPB3	OR2T6		LRRC8D		DSG1	SLC6A9	MLLT11			MAPK8IP1	LOC100132057			POU4F1			NAIP		CAMK4	
THBS4	OR2T2		ZNF326		DSG1-AS1	DMAP1	TNFAIP8L2-SCNM1			C11orf49	NBPF20			MIR622			SPZ1		MIR4460	
CKMT2	OR2T3		ZNF644		DSG4	ERI3	SCNM1			MS4A8	PFN1P2			LINC00456			CDO1		TGFBI	
SLC27A6	OR2T5		CDC7		DSG3	RNF220	VPS72			PGA5	NBPF9			SLC15A1			ACSL6		MIR145	
IL13	OR2T29		TGFBR3		LIPG	RPS8	PSMD4			VWCE	NBPF8			UBAC2-AS1			CSF2		TIMD4	
SGCD	OR2T27		EPHX4		ACAA2	LINC01144	PI4KB			CYB561A3	PDE4DIP			CCDC168			GRXCR2		ITK	
NKX2-5	LOC101928226		SETSIP		SERPINB5	HPDL	TUFT1			PPP1R32	NBPF25P			LINC00399			SPINK13		PLA2G7	
HIST1H2BL	IDI2-AS1		BTBD8		SERPINB13	MUTYH	MRPL9			MIR4488	NBPF10			LINC00676			SPINK9		IL17F	
MIR6873	IDI1		KIAA1107		GIPC3	POMGNT1	C2CD4D			LRRC10B	LIX1L			TEX29			TLX3		THEMIS	
PLN	LINC00701		GLMN		ACER1	LURAP1	S100A11			LRRN4CL	GNRHR2			PROZ			SLC34A1		SLC35D3	
TRDN	LOC105376360		RPAP2		FCER2	PDZK1IP1	S100A4			CNIH2	ITGA10			RNASE8			ZBED9		NHEG1	
TAAR6	KLF6		EVI5		CLEC4G	FOXE3	LOC101928034			BBS1	ANKRD35			LOC101926933			OR2B3		CCR6	
LOC100507477	LINC00702		FAM69A		ANGPTL4	FOXD2-AS1	S100A2			LOC100130987	MIR6736			JPH4			C6orf15		GHRHR	
MEOX2-AS1	LINC00704		SNORA66		CYP4F22	FOXD2	S100A16			GPR152	RNF115			LINC01551			PSORS1C2		TARP	
MYL7	LINC00705		MTF2		PLVAP	DMRTA2	S100A13			CABP4	CD160			MIR548AI			PGC		TRG-AS1	
CCL26	MIR3155A		TMED5		MIR3188	CDKN2C	SNAPIN			FAM86C2P	PDZK1			INSM2			MIR30A		MIR4650-1	
VGF	MIR3155B		CCDC18		ZNF208	TTC39A-AS1	ILF2			ALDH3B1	GPR89A			LINC00640			TBX18		MIR4650-2	
HRAT17	LOC399715		LOC100131564		ZNF729	CC2D1B	CREB3L4			SHANK2	PDZK1P1			FRMD6-AS1			LOC101927314		CCL24	
PPP1R3A	LINC00706		FNBP1L		ZNF728	ECHDC2	JTB			SHANK2-AS3	NBPF11			SLC35F4			SLC22A16		ACTL6B	
LMOD2	LINC00707		MIR760		HAMP	GLIS1	TPM3			MIR3664	NBPF12			ESR2			ARG1		GIMAP7	
CHRM2	LOC101928272		DNTTIP2		DMKN	CDCP2	C1orf43			KRTAP5-7	LOC728989			AKAP5			LOC101928661		MIR8055	
ASB10	CELF2		GCLM		LOC644189	FAM151A	HAX1			KRTAP5-8	PRKAB2			LINC00238			RAET1K		MIR3926-1	
MIR596	CELF2-AS1		ARHGAP29		IFNL2	TTC22	PMVK			LRTOMT	PDIA3P1			ACTN1-AS1			LOC101927354		MIR3926-2	
DEFB1	MIR4480		ABCD3		LGALS17A	TMEM61	CKS1B			PLEKHB1	CHD1L			ADAM20			IGF2BP3		MSR1	
GATA4	MIR4481		F3		LOC100505622	PCSK9	FLAD1			DNAJB13	GPR89B			SNORD56B			HOXA6		GOT1L1	
LPL	OLAH		LINC01057		PSG4	JUN	EFNA1			MAP6	NBPF14			ISM2			LOC100506725		IDO2	
MIR320A	ITGA8		SLC44A3		EXOC3L2	KANK4	SLC50A1			LOC100506127	NBPF15			TSHR			LINC01448		POTEA	
DUSP26	SLC39A12		CNN3		IGFL2	CELSR2	KRTCAP2			GUCY2EP	LOC388692			SNORA11B			C7orf69		SNTG1	
PXDNL	SLC39A12-AS1		TMEM56		VN1R2	SYPL2	MTX1			SNORA70E	FAM231D			MIR6764			SUN3		LINC01606	
COL14A1	GPR158-AS1		TMEM56-RWDD3		LILRB1	ATXN7L2	SCAMP3			ANKRD42	HIST2H2BF			SNORA28			RUNDC3B		TOX	
KLHL38	GPR158		RWDD3		TMEM150B	CYB561D1	FDPS			DLG2	HIST2H2BC			ASPG			TAC1		LOC401463	
CYP11B1	LINC00836		PTBP2		CMPK2	GSTM4	RUSC1-AS1			CCDC81	OTUD7B			MIR8071-1			AZGP1P1		CDH17	
GPIHBP1	APBB1IP		DPYD		RSAD2	GSTM1	DAP3			DISC1FP1	CA14			MIR8071-2			LHFPL3-AS1		LINC00861	
AQP7P3	LINC00264		DPYD-AS1		MBOAT2	GSTM5	SSR2			C11orf97	MIR6878			PWARSN			LOC100996249		GML	
PPAPDC3	MKX-AS1		DPYD-AS2		MYCN	EPS8L3	LAMTOR2			C11orf53	CTSK			SNORD109A			ASZ1		SPATC1	
PTGDS	LINC00837		SNX7		VSNL1	SLC6A17	RAB25			COLCA2	ARNT			SNORD109B			KCND2		INSL4	
PCSK1N	MIR938		FRRS1		LGALSL	KCNC4	SLC25A44			POU2AF1	SETDB1			SNORD116-26			LOC102724555		IFNA14	
FOXR2	MAP3K8		AGL		EGR4	PROK1	TMEM79			BTG4	BNIPL			LINC00929			C7orf77		LOC101927450	
TEX11	ZNF438		SLC35A3		REG1A	RHOC	CCT3			HSPB2	SEMA6C			LOC145845			CNPY1		OR1N2	
BCYRN1	ZEB1		HIAT1		MIR4435-1	LINC01356	APOA1BP			HSPB2-C11orf52	PIP5K1A			CHAC1			GS1-24F4.2		FCN2	
LINC01285	LINC00838		SASS6		MIR4435-2	ATP1A1	MRPL24			C11orf52	RFX5			TGM7			LOC157273		GLT6D1	
MIR6858	CREM		TRMT13		GGT8P	ATP1A1-AS1	DUSP23			TTC12	POGZ			CATSPER2P1			EBF2		GPR34	
PCDH11Y	ANKRD30A		DBT		SULT1C3	LINC01138	C1orf204			ANKK1	CGN			SLC30A4			LOC101929550		MIR500B	
	ACTR3BP5		RTCA-AS1		IFIH1	PPIAL4G	PEX19			DRD2	THEM5			DCAF13P3			FABP9		MIR325HG	
	CCNYL2		RTCA		LOC105616981	LINC00623	NCSTN			ZBTB16	CHTOP			SCG3			LOC101927066		GPR174	
	CSGALNACT2		SLC30A7		B3GALT1	LINC00869	F11R			CEP164	INTS3			MIR628			FLJ42969		NAP1L3	
	LINC00840		RNPC3		NOSTRIN	ANKRD34A	TSTD1			DSCAML1	GATAD2B			MEGF11			TNFRSF11B		ESX1	
	LINC00841		ACTG1P4		HOXD9	BCL9	PVRL4			IFT46	RAB13			THSD4-AS2			MIR1205		IL1RAPL2	
	ANKRD30BP3		NTNG1		HOXD8	LOC101927468	PFDN2			C2CD2L	UBAP2L			SH2D7			KCNQ3		LINC00890	
	NPY4R		VAV3		HAGLR	LOC645166	NIT1			PDZD3	UBE2Q1			MIR5094			LOC101927822		SH2D1A	
	CH17-360D5.1		VAV3-AS1		LINC01116	LOC103091866	DEDD			CCDC153	UBE2Q1-AS1			MIR3175			LINC01300		TENM1	
	FAM170B-AS1		SLC25A24		LINC01117	HIST2H4B	B4GALT3			MFRP	CHRNB2			CERS3-AS1			CER1		CT45A1	
	CHAT		NBPF4		MIR1258	HIST2H4A	NDUFS2			C1QTNF5	ADAR			DDX11L9			SLC24A2		CT45A7	
	SLC18A3		HENMT1		STAT1	HIST2H2AA3	PCP4L1			USP2	TRIM46			NTHL1			LINC01241		CT45A6	
	AGAP7P		STXBP3		MPP4	HIST2H2AA4	NOS1AP			USP2-AS1	CLK2			NLRC3			LOC100506422		CT45A3	
	DKK1		GPSM2		GPR1	HIST2H2AB	MGST3			TMEM136	HCN3			SEPT12			TMEM215		MIR934	
	MBL2		CLCC1		MAP2	SF3B4	UCK2			MIRLET7A2	MIR555			TNFRSF17			FRMPD1		BCORP1	
	PCDH15		WDR47		WNT10A	APH1A	MIR3658			PANX3	ASH1L-AS1			ACSM5			PGM5		RPS4Y2	
	MTRNR2L5		TMEM167B		TGM6	ENSA	GPA33			SPA17	YY1AP1			ANKS4B			MIR4670			
	MIR548AV		MYBPHL		SIGLEC1	FAM63A	MPC2			ACRV1	GON4L			SLC7A5P2			LOC340512			
	ZNF365		SORT1		HSPA12B	CDC42SE1	METTL13			TP53AIP1	KIAA0907			TRIM72			MIR3927			
	NRBF2		GSTM3		LOC101929413	LYSMD1	PRDX6			ADAMTS8	PAQR6			ITGAD			ORM1			
	JMJD1C		AHCYL1		CST8	ZNF687	TOR3A			GLB1L2	ARHGEF11			CLUHP3			DEC1			
	CTNNA3		RBM15		CST9L	GBAT2	ACBD6			LOC102723544	ETV3L			TP53TG3D			OR1J4			
	LRRTM3		SLC16A4		CST9	SELENBP1	GLUL			PRMT8	ETV3			IRX6			OR1L1			
	MYPN		CYMP		NCOR1P1	PSMB4	MIR1278			GALNT8	DCAF8			MT1H			LCN1			
	SRGN		LOC440602		COX4I2	OAZ3	C1orf53			SCARNA11	C1orf111			NDRG4			MIR602			
	LOC101928994		LRIF1		CCM2L	LINGO4	CSRP1			GPR162	C1orf226			MIR1972-2			LINC01203			
	KCNMA1-AS2		DRAM2		FAM83C	RORC	UBE2T			GNB3	UHMK1			MIR1972-1			MIR3915			
	LINC00856		CEPT1		WFDC5	S100A6	RABIF			LRRC23	C1orf110			CALB2			DGKK			
	NRG3		DENND2D		SEMG2	S100A5	ADIPOR1			ENO2	PBX1			VAT1L			ARHGEF9-IT1			
	NRG3-AS1		ATP5F1		ZBP1	S100A14	CYB5R1			FAM86FP	POGK			LOC101928446			AWAT2			
	LRIT1		FAM212B-AS1		HRH3	SLC27A3	LOC100506747			LOC101927905	POU2F1			SLC38A8			TNMD			
	LINC00858		LOC101928718		SOX18	DENND4B	ETNK2			PZP	GPR161			LOC400548			TEX13B			
	LOC101929646		DDX20		GRIK1-AS2	CRTC2	LOC101929441			SLCO1B7	ANKRD36BP1			LINC00917			LINC00632			
	LOC101929662		KCND3-AS1		KRTAP13-2	SLC39A1	REN			FLJ13224	LINC00970			LOC101927817			MIR767			
	LINC01520		CTTNBP2NL		KRTAP20-2	RPS27	GOLT1A			MIR7851	ATP1B1			LOC284009			LCA10			
	GRID1		MIR4256		KRTAP21-2	PBXIP1	LEMD1			LOC100288798	SLC19A2			SPNS3						
	MIR346		ST7L		C21orf62	PYGO2	LOC284578			CCDC184	LOC101928650			SMTNL2						
	LIPN		CAPZA1		LINC01548	SHC1	MFSD4			SNORA2A	TOP1P1			SLC13A5						
	FAS		SLC16A1		LINC00160	ZBTB7B	IKBKE			RHEBL1	TNFSF4			RPL29P2						
	HECTD2-AS1		SLC16A1-AS1		ERG	DCST1	FCMR			TUBA1A	GAS5-AS1			KCNAB3						
	PPP1R3C		LOC100996251		GGT5	LOC100505666	PIGR			LOC101927267	SNORD47			MYH3						
	ENTPD1-AS1		LOC643441		SLC5A4	ADAM15	FCAMR			PRPH	SNORD79			PIRT						
	C10orf131		MAGI3		APOL3	EFNA4	C1orf116			DNAJC22	SNORD78			KRT16P2						
	PIK3AP1		PHTF1		APOL4	EFNA3	C4BPB			KCNH3	SNORD44			MIR6778						
	ELOVL3		RSBN1		APOBEC3A	DPM3	MIR205HG			METTL7A	SNORD76			KRT16P1						
	INA		AP4B1-AS1		APOBEC3A_B	MUC1	C1orf74			SLC4A8	SNORD74			KRT16P3						
	NEURL1-AS1		PTPN22		ENTHD1	GBAP1	TMEM206			ACVRL1	SEC16B			CCDC144NL						
	ITPRIP		AP4B1		PNPLA5	GBA	NENF			OR7E47P	FAM20B			CORO6						
	LOC101927472		HIPK1-AS1		SLC6A11	FAM189B	FLVCR1-AS1			MAP3K12	ABL2			MIR193A						
	CFAP58-AS1		TRIM33		FGD5	RUSC1	C1orf115			HOXC4	LHX4			SNORD7						
	SORCS3		BCAS2		LOC101927829	MSTO1	MARC2			CBX5	LHX4-AS1			HEATR9						
	LINC01435		DENND2C		CCR2	MSTO2P	TAF1A-AS1			MIR3198-2	XPR1			LRRC37A8P						
	RNU6-53P		AMPD1		FBXW12	RXFP4	CNIH4			PPP1R1A	KIAA1614			KRT222						
	PDCD4-AS1		CSDE1		SEMA3G	ARHGEF2	CNIH3			COQ10A	STX6			KRTAP3-2						
	PNLIPRP3		SIKE1		ESRG	MIR6738	LOC100130093			HSD17B6	ZNF648			KRTAP3-1						
	PNLIP		TSPAN2		DNASE1L3	UBQLN4	JMJD4			GPR182	DHX9			KRTAP2-3						
	PNLIPRP1		SLC22A15		ADAMTS9-AS2	LMNA	SNAP47			INHBC	LAMC1			KRTAP2-4						
	PNLIPRP2		LOC101929023		FAM19A1	SEMA4A	ARF1			DTX3	LAMC2			GAST						
	VAX1		CD58		LOC101927296	PMF1	MIR3620			ARHGEF25	SMG7-AS1			RUNDC3A-AS1						
	LINC01561		CD101		VGLL3	PMF1-BGLAP	C1orf35			LOC100506844	SMG7			LINC01180						
	C10orf120		LOC101929099		EPHA3	SMG5	MRPL55			DPY19L2	C1orf21			CRHR1-IT1						
	DMBT1P1		TTF2		COL8A1	GLMP	GUK1			WIF1	HMCN1			SKAP1						
	FAM24A		VTCN1		TMEM45A	MEF2D	AGT			NAP1L1	PRG4			THRA1/BTR						
	CHST15		MAN1A2		LOC101929717	IQGAP3	C1orf198			MYF6	CFHR1			HOXB4						
	TEX36-AS1		GDAP2		CSTA	BCAN	NTPCR			GOLGA2P5	TNNI1			MTVR2						
	C10orf90		WDR3		PARP9	ISG20L2	SLC35F3			MIR1827	NAV1			MIR4729						
	LINC01164		WARS2		PARP14	RRNAD1	LOC101927765			MYBPC1	IPO9-AS1			TBX2						
	NKX6-2		ANKRD20A12P		KBTBD12	HDGF	LOC101927787			ACACB	MIR1231			PRO1804						
	LINC01166		SEC22B		CPNE4	PRCC	GNG4			MYO1H	IPO9			HID1-AS1						
	FRG2B		NOTCH2NL		CLSTN2	TAGLN2	NID1			TCTN1	MIR6739			GALR2						
	SCGB1C1		TXNIP		SUCNR1	IGSF9	GPR137B			CCDC42B	PTPRVP			LOC101928514						
	SCGB1C2		RBM8A		LOC102724604	IGSF8	SMYD3			MIR7106	PPP1R12B			FLJ45079						
	IFITM2		POLR3C		CHRD	LOC729867	ZNF695			IQCD	ATP2B4			CEP295NL						
	IGF2-AS		FMO5		RTP4	PEA15	C1orf229			RNFT2	ZC3H11A			MIR4730						
	OR52B4		PPIAL4F		MIR28	VANGL2	ZNF672			NRAV	ZBED6			LOC101928855						
	OR52K2		PPIAL4D		P3H2	USF1	AKR1C3			UNC119B	MDM4			NOTUM						
	OR52K1		PPIAL4E		P3H2-AS1	USP21	ANKRD16			MIR4700	LRRN2			B3GNTL1						
	OR51D1		VPS45		LOC100505920	TOMM40L	IL15RA			MIR548AQ	BLACAT1			DLGAP1-AS1						
	OR51E1		ANP32E		LRRC15	MIR5187	ATP5C1			MORN3	MIR135B			DLGAP1-AS4						
	OR51E2		C1orf54		GPR78	NR1I3	SFTA1P			WDR66	ELK4			ARHGAP28						
	OR51F1		PRPF3		LINC00504	MPZ	ECHDC3			BCL7A	NUCKS1			SLC35G4						
	OR51F2		RPRD2		LDB2	SDHC	FAM171A1			LRRC43	FAM72A			ANKRD62						
	OR51S1		GOLPH3L		GABRA4	FAM78B	ST8SIA6			TCTN2	SRGAP2C			MIR133A1HG						
	OR51A7		HORMAD1		GABRB1	MAEL	HACD1			DNAH10	SRGAP2			DTNA						
	MMP26		CTSS		CNGA1	GAS5	NEBL-AS1			STX2	PFKFB2			MIR3975						
	OR51L1		GABPB2		KDR	QSOX1	MSRB2			SNORA49	MIR29C			SNORD58C						
	OR52J3		SNX27		ADGRL3-AS1	FLJ23867	BAMBI			LOC101928597	MIR29B2			SNORA37						
	OR52E2		CELF3		LOC550113	MIR4426	PARD3-AS1			LINC00327	LOC148696			CDH20						
	OR52A5		TDRKH		SYT14P1	C1orf106	ZNF32			ANKRD20A19P	PLXNA2			DOK6						
	OR52A1		LOC100132111		FTLP10	ASCL5	ZNF32-AS1			USP12-AS2	IRF6			PLK5						
	HBBP1		THEM4		TMPRSS11BNL	TMEM9	ZNF32-AS2			KATNAL1	RCOR3			CSNK1G2-AS1						
	BGLT3		KCNN3		ART3	PKP1	RASSF4			LINC01058	TRAF5			TLE6						
	OR51M1		ASH1L		CXCL10	LAD1	LINC00842			MEDAG	LPGAT1			SNORD37						
	OR52N5		POU5F1P4		CXCL11	PHLDA3	ZNF488			DCLK1	FLVCR1			EBI3						
	OR56A5		RIT1		HERC6	SHISA4	VSTM4			LINC01048	PTPN14			TINCR						
	OR56A4		SNORA80E		HERC5	RNPEP	MSMB			STOML3	TGFB2			LOC100128568						
	OR56A1		GPATCH4		EMCN	ELF3	TIMM23			LINC00332	MIR548F3			SLC25A41						
	OR5P2		IFI16		DKK2	GPR37L1	ZWINT			LINC00548	TGFB2-OT1			CD70						
	NLRP10		FCER1A		TRPC3	ARL8A	HKDC1			SIAH3	BPNT1			C19orf45						
	CASC23		LINC01133		MIR3139	PCAT6	TSPAN15			FGF14-AS2	HHIPL2			OR7G2						
	DENND5A		PIGM		DDX60	TMEM183A	H2AFY2			METTL21EP	AIDA			C19orf80						
	CAND1.11		CASQ1		PRLR	TMEM183B	SLC29A3			COL4A2-AS1	SUSD4			CCDC159						
	LYVE1		COPA		LOC101928569	FMOD	PSAP			ADPRHL1	GTF2IP20			ZNF69						
	MRVI1		SUMO1P3		CRHBP	SOX13	ANAPC16			RASA3	LOC101927164			NANOS3						
	PDE3B		RPL31P11		RASGRF2-AS1	KISS1	DNAJB12			EDDM3A	MIR320B2			PTGER1						
	CALCA		DUSP12		VCAN	PLEKHA6	MICU1			EDDM3B	WDR26			ZNF90						
	CALCB		ATF6		EDIL3	PIK3C2B	MRPS16			ZFHX2	MIR4742			ZNF724P						
	ABCC8		MIR556		POU5F2	NFASC	SEC24C			REC8	ENAH			CCNE1						
	OTOG		SH2D1B		C5orf56	TMCC2	CHCHD1			PTGER2	TMEM63A			LGI4						
	LOC102723330		UAP1		IRF1	CDK18	C10orf55			GPR135	MIR6741			FXYD7						
	MYOD1		DDR2		CXCL14	SLC45A3	PLAU			ACOT6	PARP1			KRTDAP						
	MRGPRX4		HSD17B7		ECSCR	SLC41A1	DUSP13			DNAL1	MIR5008			SBSN						
	MRGPRX1		RGS4		HBEGF	EIF2D	VDAC2			VRTN	IBA57			U2AF1L4						
	SLC6A5		RGS5		FGF1	MAPKAPK2	COMTD1			ZC2HC1C	C1orf145			PAPL						
	SLC17A6		LOC100505795		SCGB3A2	IL24	ZNF503-AS1			IFT43	OBSCN			IFNL1						
	WT1-AS		ALDH9A1		C5orf46	MIR205	C10orf11			MIR1260A	MIR6742			DLL3						
	FBXO3-AS1		TMCO1		LOC255187	LAMB3	EIF5AL1			POMT2	TRIM17			POU2F2						
	LOC103312105		LOC100147773		ARSI	MIR4260	SFTPA2			NOXRED1	HIST3H3			CNFN						
	LOC100507205		FMO9P		SPARC	SERTAD4-AS1	LOC642361			TTC7B	TAF5L			LOC101930071						
